S,Mmb,ID,f_ID,r,Rmag,Imag,B-V,g-i,mu0,<mu>e,ra,dec,czabs,Rfx,S/N,czem,A06,Simbad,is_ucd,confirmation_status,distance_mpc
1,Mem,191006,,r,22.88,22.6,1.03,1.28,22.58,19.08,194.886472,27.975344,7436,9.5,11.9,,1,Simbad,1,candidate,100.0
1,Mem,192636,,r,21.67,22.37,0.95,1.18,22.35,19.82,194.900164,27.968112,6929,7.3,7.3,,1,Simbad,1,candidate,100.0
1,Mem,120985,,r,22.04,22.31,0.97,1.23,22.02,19.95,194.900784,28.020083,7578,9.8,13.2,,1,Simbad,1,candidate,100.0
1,Mem,121666,,r,21.65,21.68,0.99,1.34,21.61,19.28,194.913176,28.019787,7589,12.5,17.8,,1,Simbad,1,candidate,100.0
1,Mem,195526,,r,22.12,21.95,0.84,1.1,21.72,19.5,194.918291,27.958585,6867,10.9,14.1,,1,Simbad,1,candidate,100.0
1,Mem,195614,,r,22.28,22.39,0.84,1.03,22.23,19.58,194.924515,27.980176,7366,8.1,11.7,,1,Simbad,1,candidate,100.0
1,Mem,196790,,r,21.86,21.9,0.84,1.29,21.81,18.99,194.937143,27.981702,7250,16.5,14.2,,1,Simbad,1,candidate,100.0
1,Mem,182204,,r,23.06,23.29,0.65,1.23,23.17,20.08,194.972786,27.982067,6470,4.9,4.7,,1,Simbad,1,candidate,100.0
1,Mem,242857,,r,22.38,22.43,0.65,0.95,22.19,19.57,195.048362,27.922997,6050,6.9,13.2,,1,Simbad,1,candidate,100.0
1,Mem,160141,,r,22.91,22.78,0.63,1.04,22.51,19.31,195.06907,27.974145,6873,5.9,5.8,,1,Simbad,1,candidate,100.0
1,Mem,161244,,r,22.6,22.67,0.84,1.0,22.31,19.01,195.084151,27.96723,6290,5.5,8.5,,1,Simbad,1,candidate,100.0
1,Mem,163341,,r,22.25,22.38,0.69,1.03,22.21,19.7,195.122479,27.955506,7017,6.9,12.7,,1,Simbad,1,candidate,100.0
1,Mem,163400,,r,23.42,23.4,0.68,0.91,23.25,21.26,195.128773,27.974436,6315,3.4,5.1,,1,Simbad,1,candidate,100.0
1,Mem,92415,,r,22.86,22.9,0.77,0.97,22.64,20.01,195.134379,28.003525,4681,7.7,8.0,,1,Simbad,1,candidate,100.0
1,Mem,163575,,r,22.52,22.66,0.71,1.04,22.38,19.56,195.13586,27.986301,6538,8.5,9.2,,1,Simbad,1,candidate,100.0
1,Mem,150880,,r,22.7,22.84,0.67,0.91,22.51,19.55,195.151684,27.97341,6436,5.1,8.0,,1,Simbad,1,candidate,100.0
1,Mem,151072,f,r,21.48,21.6,0.71,0.96,21.65,20.14,195.157608,27.977945,4906,6.7,18.9,,1,Simbad,1,candidate,100.0
1,Mem,151072,f,r,,,,,,,195.157608,27.977945,4845,10.0,21.3,,1,Simbad,1,candidate,100.0
1,Mem,150000,,r,21.5,,0.96,,,,195.166487,27.996722,6641,9.1,11.9,,0,Simbad,1,candidate,100.0
1,Mem,81669,,r,23.01,23.04,,0.98,22.74,19.87,195.186156,28.029057,6843,7.5,7.7,,1,Simbad,1,candidate,100.0
1,Uncert,190183,,,23.22,23.93,0.69,0.84,23.56,20.42,194.877914,27.990522,7620,2.1,3.3,,1,Simbad,1,candidate,100.0
1,Uncert,190875,,,23.38,23.69,0.75,1.05,23.62,20.63,194.891846,28.001924,8977,3.9,3.3,,1,Simbad,1,candidate,100.0
1,Uncert,182306,,,23.46,23.49,0.67,1.07,23.31,20.08,194.968506,27.956759,6705,3.7,4.9,,1,Simbad,1,candidate,100.0
1,Uncert,160540,,,22.88,23.25,0.78,0.93,22.88,19.99,195.077164,27.974997,7014,2.8,5.0,,1,Simbad,1,candidate,100.0
1,Uncert,92668,,,23.52,23.48,0.9,1.07,23.31,20.02,195.150421,28.041206,6544,4.3,1.6,,1,Simbad,1,candidate,100.0
1,Uncert,151061,,,23.75,24.09,0.77,0.83,23.53,20.76,195.154907,27.968727,6819,2.8,2.6,,1,Simbad,1,candidate,100.0
1,Bckgrd,230649,,,22.42,22.41,0.62,1.23,22.54,21.0,195.064697,27.907997,,,,157512,1,Simbad,1,candidate,100.0
1,Bckgrd,162819,,,23.41,23.44,0.87,0.75,23.31,21.74,195.109787,27.960476,53558,3.3,4.9,53837,1,Simbad,1,candidate,100.0
1,Bckgrd,221365,,,23.32,23.77,0.76,1.08,23.61,21.25,195.153931,27.924591,,,,161089,1,Simbad,1,candidate,100.0
1,Bckgrd,10679,,,23.72,23.48,0.63,0.82,23.32,22.01,195.178375,28.086492,,,,54528,0,Simbad,1,candidate,100.0
1,Stars,180960,,,22.68,22.58,0.92,1.42,22.3,18.78,194.949997,27.977894,98,4.4,6.9,,1,Simbad,1,candidate,100.0
1,Stars,160373,,,21.73,21.83,0.72,1.34,21.46,17.95,195.076324,27.991791,45,7.7,16.4,,1,Simbad,1,candidate,100.0
1,Stars,161617,f,,22.8,22.81,0.75,1.05,22.49,19.05,195.089386,27.966682,149,3.8,7.6,,1,Simbad,1,candidate,100.0
1,Stars,161617,f,,,,,,,,195.089386,27.966682,69,4.0,4.7,,1,Simbad,1,candidate,100.0
1,Stars,221051,,,21.61,21.8,0.59,0.57,21.25,17.98,195.144455,27.918364,-23,4.1,14.9,,1,Simbad,1,candidate,100.0
1,Stars,10388,,,21.68,22.09,1.05,2.32,21.42,19.05,195.172211,28.078337,84,13.0,17.0,,0,Simbad,1,candidate,100.0
1,Stars,10355,,,21.56,22.14,0.84,1.94,21.39,19.24,195.174835,28.092825,58,13.1,23.6,,0,Simbad,1,candidate,100.0
1,Failed,196829,,,23.51,23.93,0.57,0.84,23.71,20.33,194.93071,27.953659,,,,,1,Simbad,1,candidate,100.0
1,Failed,123628,,,23.99,24.14,1.07,1.38,23.92,21.18,194.93866,28.005562,,,,,1,Simbad,1,candidate,100.0
1,Failed,181622,,,23.93,24.09,0.66,0.83,23.75,21.41,194.96254,27.973003,,,,,1,Simbad,1,candidate,100.0
1,Failed,181520,,,23.49,23.58,0.8,1.17,23.23,19.99,194.967377,27.999901,,,,,1,Simbad,1,candidate,100.0
1,Failed,182263,,,23.58,24.07,0.56,0.73,23.77,20.96,194.971374,27.972153,,,,,1,Simbad,1,candidate,100.0
1,Failed,230603,,,23.72,23.87,0.52,0.94,23.46,21.04,195.062836,27.905592,,,,,1,Simbad,1,candidate,100.0
1,Failed,160317,,,23.61,24.11,0.8,0.85,23.88,20.42,195.072632,27.981623,,,,,1,Simbad,1,candidate,100.0
1,Failed,161324,,,23.6,23.75,1.0,1.09,23.4,20.3,195.093369,28.001535,,,,,1,Simbad,1,candidate,100.0
1,Failed,232327,,,23.31,23.5,1.02,1.4,22.99,20.11,195.103042,27.909706,,,,,1,Simbad,1,candidate,100.0
1,Failed,221570,,,23.7,23.99,0.52,1.23,23.6,22.09,195.161331,27.94673,,,,,1,Simbad,1,candidate,100.0
1,Failed,151353,,,23.71,24.27,0.8,0.91,23.9,21.08,195.168091,27.98074,,,,,1,Simbad,1,candidate,100.0
1,Failed,81133,,,,23.99,,2.54,,21.34,195.173996,28.016844,,,,,0,Simbad,1,candidate,100.0
2,Mem,1041346,,r,21.65,21.89,0.87,0.89,21.71,19.34,194.914169,27.977791,8816,6.41,9.1,,1,Simbad,1,candidate,100.0
2,Mem,1039188,,r,21.97,22.1,1.47,1.0,22.0,19.33,194.921661,27.95303,6955,8.4,6.3,,1,Simbad,1,candidate,100.0
2,Mem,1041508,,r,22.62,22.95,0.71,0.83,22.62,19.89,194.929382,27.979355,7346,3.63,3.9,,1,Simbad,1,candidate,100.0
2,Mem,1043225,,r,,22.72,,0.65,,20.07,194.986374,27.99943,6950,3.68,3.9,,1,Simbad,1,candidate,100.0
2,Mem,1042830,,r,21.83,21.79,0.8,1.02,21.59,18.79,195.007507,27.994812,9438,6.97,9.2,,1,Simbad,1,candidate,100.0
2,Mem,2000005,,r,23.19,23.19,0.5,1.04,23.19,19.67,195.203247,28.019781,7339,7.92,3.0,,1,Simbad,1,candidate,100.0
2,Mem,1044251,,r,22.31,22.3,0.77,1.19,22.24,19.73,195.209549,28.010416,4563,8.61,6.3,,1,Simbad,1,candidate,100.0
2,Mem,1044847,,r,22.59,,0.88,,22.49,,195.216049,28.017069,8489,5.54,4.2,,1,Simbad,1,candidate,100.0
2,Uncert,1039715,,,22.65,22.69,0.79,1.1,22.75,20.49,194.912247,27.959192,6558,3.1,4.7,,1,Simbad,1,candidate,100.0
2,Uncert,1041400,,,22.78,22.73,0.92,1.19,22.61,19.79,194.923706,27.978266,6982,5.19,2.7,,1,Simbad,1,candidate,100.0
2,Uncert,1038942,,,22.94,23.11,0.64,0.79,23.11,20.73,194.950251,27.950251,6538,2.56,3.6,,0,Simbad,1,candidate,100.0
2,Uncert,1039079,,,22.7,22.88,0.74,0.99,22.69,19.53,194.956909,27.951775,9638,5.4,3.4,,1,Simbad,1,candidate,100.0
2,Uncert,1037297,,,22.89,23.04,0.64,0.92,22.79,19.88,194.963669,27.931713,7153,3.14,2.8,,1,Simbad,1,candidate,100.0
2,Uncert,1040263,,,22.91,22.81,0.83,0.84,22.81,21.02,194.99379,27.965506,6821,3.49,3.4,,1,Simbad,1,candidate,100.0
2,Uncert,1038505,,,23.1,23.12,0.43,0.72,22.69,20.45,195.022415,27.945646,5777,3.83,3.3,,1,Simbad,1,candidate,100.0
2,Uncert,1045724,,,22.32,22.51,0.97,1.27,22.18,18.89,195.124161,28.026764,6896,4.76,4.8,,1,Simbad,1,candidate,100.0
2,Bckgrd,1037801,,,21.17,21.27,0.45,0.43,21.36,20.07,194.968674,27.938253,44368,2.4,17.5,44454,1,Simbad,1,candidate,100.0
2,Bckgrd,1042772,,,23.22,23.37,0.65,0.98,23.41,21.52,194.989502,27.994127,,,,122313,1,Simbad,1,candidate,100.0
2,Bckgrd,1042434,,,23.49,,0.43,,23.27,,195.027924,27.990049,,,,110080,1,Simbad,1,candidate,100.0
2,Bckgrd,1041404,,,21.43,21.49,0.7,0.44,21.56,20.45,195.143799,27.9785,,,,53247,1,Simbad,1,candidate,100.0
2,Bckgrd,1040963,,,23.25,23.51,0.82,0.98,23.26,21.36,195.167541,27.97307,,,,106399,1,Simbad,1,candidate,100.0
2,Bckgrd,1042863,,,,22.77,,0.47,,21.24,195.186996,27.994924,,,,53043,1,Simbad,1,candidate,100.0
2,Bckgrd,4000025,,,,,,,,,195.199371,27.994432,81397,2.72,2.5,81556,0,Simbad,1,candidate,100.0
2,Stars,1039346,,,22.21,22.25,0.76,0.9,21.93,18.45,194.950089,27.955013,2,3.42,6.5,,1,Simbad,1,candidate,100.0
2,Stars,1039823,,,21.06,21.44,0.64,0.29,20.82,18.14,194.963913,27.960506,-43,11.4,16.4,,1,Simbad,1,candidate,100.0
2,Stars,1044234,,,21.82,21.91,0.82,1.08,21.6,18.19,195.147537,28.010304,-114,9.0,10.2,,1,Simbad,1,candidate,100.0
2,Stars,1043666,,,22.04,22.19,0.67,0.64,21.68,18.51,195.160248,28.004345,-200,9.38,11.8,,1,Simbad,1,candidate,100.0
2,Stars,1045115,,,21.62,,0.54,,21.36,,195.229202,28.020098,-139,6.41,15.7,,1,Simbad,1,candidate,100.0
2,Stars,8039100,,,22.52,,0.8,,22.22,,195.252457,27.987934,185,5.53,5.8,,1,Simbad,1,candidate,100.0
